episode_idx,planning_idx,episode_step_idx,ref_t_before_sampling,denoise_step_idx,diffusion_t,plan_id,guidance_scale,grad_clip,J_total,centerx_cost,smooth_cost,track_cost,barrier_cost,weighted_centerx_cost,weighted_smooth_cost,weighted_track_cost,weighted_barrier_cost,grad_norm,grad_norm_clipped,grad_max_abs,grad_max_abs_clipped,alpha_grad_norm,model_mean_norm,dxy_norm,des_xy_exec_x,des_xy_exec_y,cur_xy_x,cur_xy_y,pred_delta_0,pred_delta_1
0,0,0,0,0,15,0,1e-12,10.0,0.10286744683980942,0.010286744683980942,0.005000000353902578,0.0,0.0,0.10286744683980942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5271157026290894,0.1414213627576828,0.5275389552116394,-0.2770410478115082,0.5273873805999756,-0.27783507108688354,0.004819062072783709,0.007627778686583042
0,0,0,0,1,14,0,1e-12,10.0,0.13014747202396393,0.013014746829867363,0.004524232819676399,0.0,0.0,0.13014747202396393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9279494285583496,0.13452483713626862,0.5275389552116394,-0.2770410478115082,0.5273873805999756,-0.27783507108688354,0.004819062072783709,0.007627778686583042
0,0,0,0,2,13,0,1e-12,10.0,0.12238822877407074,0.012238822877407074,0.004769854247570038,0.0,0.0,0.12238822877407074,0.0,0.0,0.0,0.16688072681427002,0.16688072681427002,0.16688072681427002,0.16688072681427002,1.6688072681427003e-13,2.2050411701202393,0.13812826573848724,0.5275389552116394,-0.2770410478115082,0.5273873805999756,-0.27783507108688354,0.004819062072783709,0.007627778686583042
0,0,0,0,3,12,0,1e-12,10.0,0.13025468587875366,0.013025469146668911,0.005000000353902578,0.0,0.0,0.13025468587875366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0854060649871826,0.1414213627576828,0.5275389552116394,-0.2770410478115082,0.5273873805999756,-0.27783507108688354,0.004819062072783709,0.007627778686583042
0,0,0,0,4,11,0,1e-12,10.0,0.13014747202396393,0.013014746829867363,0.005000000353902578,0.0,0.0,0.13014747202396393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3868768215179443,0.1414213627576828,0.5275389552116394,-0.2770410478115082,0.5273873805999756,-0.27783507108688354,0.004819062072783709,0.007627778686583042
0,0,0,0,5,10,0,1e-12,10.0,0.12731415033340454,0.012731414288282394,0.005000000353902578,0.0,0.0,0.12731415033340454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7860238552093506,0.1414213627576828,0.5275389552116394,-0.2770410478115082,0.5273873805999756,-0.27783507108688354,0.004819062072783709,0.007627778686583042
0,0,0,0,6,9,0,1e-12,10.0,0.13295947015285492,0.013295946642756462,0.004588083364069462,0.0,0.0,0.13295947015285492,0.0,0.0,0.0,0.1272367388010025,0.1272367388010025,0.1272367388010025,0.1272367388010025,1.272367388010025e-13,1.6704375743865967,0.13547077775001526,0.5275389552116394,-0.2770410478115082,0.5273873805999756,-0.27783507108688354,0.004819062072783709,0.007627778686583042
0,0,0,0,7,8,0,1e-12,10.0,0.02184256725013256,0.0021842566784471273,0.0030782348476350307,0.0,0.0,0.02184256725013256,0.0,0.0,0.0,0.23199443519115448,0.23199443519115448,0.16952869296073914,0.16952869296073914,2.3199443519115447e-13,1.4826233386993408,0.11096368730068207,0.5275389552116394,-0.2770410478115082,0.5273873805999756,-0.27783507108688354,0.004819062072783709,0.007627778686583042
0,0,0,0,8,7,0,1e-12,10.0,0.019130636006593704,0.0019130636937916279,0.004583711735904217,0.0,0.0,0.019130636006593704,0.0,0.0,0.0,0.06222987547516823,0.06222987547516823,0.06222948804497719,0.06222948804497719,6.222987547516823e-14,0.8601009249687195,0.1354062259197235,0.5275389552116394,-0.2770410478115082,0.5273873805999756,-0.27783507108688354,0.004819062072783709,0.007627778686583042
0,0,0,0,9,6,0,1e-12,10.0,0.022549061104655266,0.0022549061104655266,0.005000000353902578,0.0,0.0,0.022549061104655266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0073477029800415,0.1414213627576828,0.5275389552116394,-0.2770410478115082,0.5273873805999756,-0.27783507108688354,0.004819062072783709,0.007627778686583042
0,0,0,0,10,5,0,1e-12,10.0,0.03386534005403519,0.0033865340519696474,0.005000000353902578,0.0,0.0,0.03386534005403519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8296017646789551,0.1414213627576828,0.5275389552116394,-0.2770410478115082,0.5273873805999756,-0.27783507108688354,0.004819062072783709,0.007627778686583042
0,0,0,0,11,4,0,1e-12,10.0,0.05997396633028984,0.005997396539896727,0.0044701797887682915,0.0,0.0,0.05997396633028984,0.0,0.0,0.0,0.17913873493671417,0.17913873493671417,0.17913873493671417,0.17913873493671417,1.7913873493671416e-13,0.9255049824714661,0.1337188184261322,0.5275389552116394,-0.2770410478115082,0.5273873805999756,-0.27783507108688354,0.004819062072783709,0.007627778686583042
